img	comment	related text	question	answer		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	What was Frederick Henry, Prince of Orange and Stadholder born at about six months before his father's assassination?	at Delft		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	Who was Frederick Henry, Prince of Orange and Stadholder?	the youngest child of William the Silent		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	When was Frederick Henry, Prince of Orange and Stadholder born at Delft before his father's assassination?	about six months		
		The painting represents Frederick Henry (Frederik Hendrik in Dutch), Prince of Orange and Stadholder of Holland from 1625 to 1647.	What represents Frederick Henry, Prince of Orange and Stadholder of Holland from 1625 to 1647?	the painting		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	What was Frederick Henry, Prince of Orange and Stadholder born at Delft about six months before?	before his father's assassination		
		Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters.	When was Frederick Henry married to Amalia van Solms-Braunfels?	in 1625		
		Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters.	Who was one son?	William II of Orange, and four daughters		
		In the center of the painting is Amalia, at her side their youngest daughter Maria.	What is Amalia?	their youngest daughter Maria		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	Who was born at Delft about six months before his father's assassination?	Frederick Henry, Prince of Orange and Stadholder		
		The painting represents Frederick Henry (Frederik Hendrik in Dutch), Prince of Orange and Stadholder of Holland from 1625 to 1647.	Who does the painting represent from 1625 to 1647?	Frederick Henry, Prince of Orange and Stadholder of Holland		
		Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters.	What was Frederick Henry married in 1625 to?	to Amalia van Solms-Braunfels		
		Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters.	Who was married in 1625 to Amalia van Solms-Braunfels?	Frederick Henry		
		The painting represents Frederick Henry (Frederik Hendrik in Dutch), Prince of Orange and Stadholder of Holland from 1625 to 1647.	What does the painting represent Frederick Henry, Prince of Orange and Stadholder of from 1625 to 1647?	of Holland		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	Who was the youngest child of William the Silent?	Frederick Henry, Prince of Orange and Stadholder		
11363-1delaroc.jpg	Delaroche's early work consists mainly of subjects from the Old Testament, while later he chose subjects from French and English history. He was one of the most popular painters of his time, his paintings satisfied the need for education through art and the demand for sensibility. Both his carefully researched interiors and costumes and the theatrical content made his paintings so popular. In The Death of Elizabeth I, Queen of England the cultivation of material actually distracts attention from the real subject. But this was in keeping with contemporary taste for decorative history painting, which had gone to extremes in its meticulous attention to detail in the objects, furniture, and costumes.The painting was exhibited at the Salon of 1827/28					
		But this was in keeping with contemporary taste for decorative history painting, which had gone to extremes in its meticulous attention to detail in the objects, furniture, and costumes.	What had decorative history painting gone to to detail?	to extremes in this's meticulous attention		
		Delaroche's early work consists mainly of subjects from the Old Testament, while later he chose subjects from French and English history.	What does Delaroche's early work consist mainly of?	of subjects from the Old Testament		
		In The Death of Elizabeth I, Queen of England the cultivation of material actually distracts attention from the real subject.	When does the cultivation of material actually distract attention from the real subject?	in The Death of Elizabeth I		
		Delaroche's early work consists mainly of subjects from the Old Testament, while later he chose subjects from French and English history.	Whose early work consists mainly of subjects from the Old Testament?	Delaroche's early work		
		The painting was exhibited at the Salon of 1827\/28	What was the painting exhibited at?	at the Salon of 1827\/28		
		Delaroche's early work consists mainly of subjects from the Old Testament, while later he chose subjects from French and English history.	Who chose subjects from French and English history?	he		
